runIndex,timestamp,coldPayloadKB,coldRequests,cold_htmlDocumentKB,cold_jsPayloadKB,cold_apiPayloadKB,cold_cssPayloadKB,cold_staticAssetKB,warmNavigationMs,warmPayloadKB,warmRequests,warmCachedRequests,warmNetworkRequests,warmNetworkPayloadKB,warm_htmlDocumentKB,warm_jsPayloadKB,warm_apiPayloadKB,warm_cssPayloadKB,warm_staticAssetKB,warmTtfbMs,warmDomContentLoadedMs,warmTransferSizeBytes,cacheHitRate,payloadReductionPct
1,2026-04-01T06:05:19.762Z,857.32,100,17.36,575.65,105.8,72.45,86.06,1230,42.37,97,2,95,42.37,17.28,1.79,19.09,0,0,100.80000001192093,221.2000000178814,13231,2.1,95.1
2,2026-04-01T06:05:27.396Z,866,104,17.35,575.69,106.06,72.46,86.02,1213,38.16,96,2,94,38.16,17.28,1.79,19.1,0,0,124,205.90000000596046,13233,2.1,95.6
3,2026-04-01T06:05:33.724Z,857.39,100,17.42,575.68,105.81,72.46,86.02,1187,38.17,96,2,94,38.17,17.28,1.79,19.1,0,0,95,179.30000001192093,13235,2.1,95.5
4,2026-04-01T06:05:40.174Z,857.35,100,17.41,575.66,105.81,72.4,86.08,1173,38.2,96,2,94,38.2,17.31,1.79,19.1,0,0,84.5,165.2999999821186,13235,2.1,95.5
5,2026-04-01T06:05:48.471Z,865.93,104,17.37,575.6,106.06,72.46,86.02,1378,38.15,96,2,94,38.15,17.27,1.79,19.1,0,0,136.59999999403954,221.2000000178814,13231,2.1,95.6
6,2026-04-01T06:05:56.124Z,865.99,104,17.35,575.66,106.07,72.44,86.06,1204,39.45,96,2,94,39.45,17.29,3.01,19.15,0,0,90.30000001192093,196.80000001192093,13231,2.1,95.4
7,2026-04-01T06:06:03.955Z,865.93,104,17.35,575.63,106.06,72.46,86.02,1201,38.16,96,2,94,38.16,17.27,1.79,19.1,0,0,110.09999999403954,192.7999999821186,13231,2.1,95.6
8,2026-04-01T06:06:10.476Z,857.36,100,17.34,575.69,105.81,72.46,86.07,1209,39.37,96,2,94,39.37,17.26,3.01,19.1,0,0,85.7000000178814,200.7000000178814,13231,2.1,95.4
9,2026-04-01T06:06:18.357Z,865.93,104,17.41,575.59,106.05,72.4,86.08,1215,39.61,96,2,94,39.61,17.35,3.16,19.1,0,0,91.39999997615814,207.5,13235,2.1,95.4
10,2026-04-01T06:06:24.964Z,857.28,100,17.41,575.55,105.8,72.45,86.07,1219,43.73,97,2,95,43.73,17.28,3.16,19.1,0,0,85.80000001192093,204.80000001192093,13233,2.1,94.9
11,2026-04-01T06:06:32.916Z,866.16,105,17.35,575.55,106.31,72.46,86.08,1200,39.6,96,2,94,39.6,17.34,3.16,19.1,0,0,92.2999999821186,192.40000000596046,13233,2.1,95.4
12,2026-04-01T06:06:40.880Z,865.87,104,17.35,575.59,106.06,72.45,86.02,1320,40.21,96,2,94,40.21,17.28,3.84,19.1,0,0,82.09999999403954,195.5,13233,2.1,95.4
13,2026-04-01T06:06:47.360Z,857.18,100,17.34,575.55,105.8,72.47,86.01,1316,46.47,97,2,95,46.47,17.27,5.89,19.1,0,0,120.2999999821186,307,13231,2.1,94.6
14,2026-04-01T06:06:55.479Z,865.82,104,17.33,575.51,106.07,72.43,86.07,1198,38.16,96,2,94,38.16,17.26,1.79,19.11,0,0,106.5,188.69999998807907,13235,2.1,95.6
15,2026-04-01T06:07:03.568Z,865.82,104,17.35,575.53,106.06,72.4,86.07,1315,38.9,96,2,94,38.9,17.33,2.47,19.1,0,0,124,306.19999998807907,13235,2.1,95.5
16,2026-04-01T06:07:10.020Z,857.13,100,17.37,575.53,105.82,72.45,85.96,1256,43.06,97,2,95,43.06,17.29,2.47,19.1,0,0,143.09999999403954,248.09999999403954,13233,2.1,95
17,2026-04-01T06:07:18.004Z,865.83,104,17.34,575.49,106.08,72.44,86.07,1189,38.18,96,2,94,38.18,17.29,1.79,19.1,0,0,102.59999999403954,180.5,13235,2.1,95.6
18,2026-04-01T06:07:25.748Z,865.9,104,17.36,575.53,106.07,72.45,86.08,1199,38.15,96,2,94,38.15,17.27,1.79,19.1,0,0,106.09999999403954,191,13229,2.1,95.6
19,2026-04-01T06:07:32.004Z,857.25,100,17.4,575.53,105.81,72.44,86.06,1155,38.15,96,2,94,38.15,17.27,1.78,19.1,0,0,73.90000000596046,148.09999999403954,13235,2.1,95.5
20,2026-04-01T06:07:39.592Z,865.73,104,17.41,575.38,106.07,72.4,86.07,1191,38.18,96,2,94,38.18,17.28,1.79,19.11,0,0,102,183.40000000596046,13235,2.1,95.6
21,2026-04-01T06:07:46.029Z,857.19,100,17.41,575.46,105.8,72.46,86.06,1262,42.88,97,2,95,42.88,17.25,2.33,19.09,0,0,90.19999998807907,253,13231,2.1,95
22,2026-04-01T06:07:52.406Z,857.06,100,17.34,575.46,105.81,72.44,86.02,1290,42.89,97,2,95,42.89,17.27,2.33,19.09,0,0,76.09999999403954,278,13235,2.1,95
23,2026-04-01T06:07:58.831Z,857.12,100,17.36,575.49,105.81,72.45,86.01,1212,38.66,96,2,94,38.66,17.24,2.33,19.1,0,0,79.89999997615814,200.30000001192093,13231,2.1,95.5
24,2026-04-01T06:08:05.254Z,857.04,100,17.33,575.48,105.81,72.4,86.02,1210,38.18,96,2,94,38.18,17.29,1.79,19.11,0,0,86.5,166.30000001192093,13235,2.1,95.5
25,2026-04-01T06:08:13.149Z,865.92,104,17.42,575.5,106.06,72.46,86.07,1197,39.37,96,2,94,39.37,17.26,3.01,19.09,0,0,74.10000002384186,189.09999999403954,13229,2.1,95.5
26,2026-04-01T06:08:20.871Z,865.77,104,17.41,575.47,106.06,72.4,86.01,1178,38.15,96,2,94,38.15,17.27,1.79,19.09,0,0,89.69999998807907,171.40000000596046,13231,2.1,95.6
27,2026-04-01T06:08:27.115Z,857.3,100,17.35,575.59,105.82,72.47,86.07,1169,42.38,97,2,95,42.38,17.28,1.79,19.1,0,0,84.40000000596046,162.2000000178814,13231,2.1,95.1
28,2026-04-01T06:08:34.446Z,857.1,100,17.37,575.46,105.8,72.41,86.06,1164,42.35,97,2,95,42.35,17.26,1.79,19.1,0,0,78.89999997615814,156.39999997615814,13231,2.1,95.1
29,2026-04-01T06:08:41.151Z,857.12,100,17.34,575.49,105.81,72.41,86.07,1258,38.15,96,2,94,38.15,17.26,1.79,19.1,0,0,166,249.69999998807907,13231,2.1,95.5
30,2026-04-01T06:08:47.545Z,857.2,100,17.34,575.56,105.81,72.41,86.08,1250,42.36,97,2,95,42.36,17.26,1.79,19.1,0,0,138.59999999403954,218.60000002384186,13235,2.1,95.1
31,2026-04-01T06:08:55.567Z,865.72,104,17.34,575.47,106.07,72.41,86.02,1438,38.91,96,2,94,38.91,17.34,2.47,19.1,0,0,320.5,429.30000001192093,13233,2.1,95.5
32,2026-04-01T06:09:02.112Z,857.16,100,17.41,575.42,105.8,72.46,86.07,1360,38.86,96,2,94,38.86,17.28,2.47,19.1,0,0,130.2999999821186,291.19999998807907,13231,2.1,95.5
33,2026-04-01T06:09:09.757Z,865.86,104,17.4,575.5,106.05,72.42,86.07,1193,38.15,96,2,94,38.15,17.26,1.79,19.1,0,0,102.10000002384186,185.2999999821186,13235,2.1,95.6
34,2026-04-01T06:09:16.016Z,857.21,100,17.41,575.58,105.81,72.41,86.01,1175,38.13,96,2,94,38.13,17.25,1.79,19.1,0,0,88.69999998807907,167.5,13231,2.1,95.6
35,2026-04-01T06:09:23.923Z,865.86,104,17.39,575.54,106.05,72.44,86.02,1176,38.17,96,2,94,38.17,17.29,1.79,19.09,0,0,86.2999999821186,168.69999998807907,13233,2.1,95.6
36,2026-04-01T06:09:32.083Z,865.81,104,17.35,575.55,106.05,72.45,86.01,1178,38.14,96,2,94,38.14,17.26,1.79,19.09,0,0,95.2999999821186,170.19999998807907,13231,2.1,95.6
37,2026-04-01T06:09:38.411Z,857.14,100,17.35,575.44,105.79,72.48,86.07,1182,38.15,96,2,94,38.15,17.27,1.79,19.1,0,0,90.40000000596046,173.5,13233,2.1,95.5
38,2026-04-01T06:09:44.896Z,857.11,100,17.4,575.55,105.8,72.4,85.96,1341,42.34,97,2,95,42.34,17.26,1.79,19.09,0,0,251.69999998807907,334,13231,2.1,95.1
39,2026-04-01T06:09:52.705Z,865.8,104,17.34,575.47,106.06,72.44,86.08,1171,38.22,96,2,94,38.22,17.33,1.79,19.1,0,0,80,162.19999998807907,13231,2.1,95.6
40,2026-04-01T06:10:00.662Z,865.99,104,17.44,575.61,106.07,72.43,86.02,1212,38.16,96,2,94,38.16,17.27,1.79,19.1,0,0,92.2999999821186,176.69999998807907,13233,2.1,95.6
41,2026-04-01T06:10:07.106Z,857.05,100,17.36,575.53,105.8,72.4,85.96,1245,38.84,96,2,94,38.84,17.28,2.47,19.09,0,0,67.10000002384186,236.59999999403954,13229,2.1,95.5
42,2026-04-01T06:10:14.279Z,857.18,100,17.37,575.53,105.81,72.44,86.02,1098,42.44,97,2,95,42.44,17.35,1.79,19.11,0,0,86.09999999403954,233.80000001192093,13235,2.1,95
43,2026-04-01T06:10:21.895Z,865.8,104,17.34,575.51,106.05,72.47,86.02,1234,38.22,96,2,94,38.22,17.34,1.79,19.1,0,0,142.80000001192093,226.89999997615814,13233,2.1,95.6
44,2026-04-01T06:10:28.215Z,857.11,100,17.44,575.42,105.8,72.44,86,1181,42.35,97,2,95,42.35,17.26,1.79,19.1,0,0,91.90000000596046,175.2999999821186,13235,2.1,95.1
45,2026-04-01T06:10:36.196Z,865.84,104,17.35,575.49,106.06,72.46,86.07,1201,38.16,96,2,94,38.16,17.29,1.79,19.09,0,0,106.5,192.30000001192093,13233,2.1,95.6
46,2026-04-01T06:10:44.034Z,865.79,104,17.34,575.51,106.06,72.45,86.02,1189,38.21,96,2,94,38.21,17.33,1.79,19.1,0,0,78.60000002384186,164,13231,2.1,95.6
47,2026-04-01T06:10:50.420Z,857.3,100,17.41,575.54,105.81,72.46,86.08,1214,38.16,96,2,94,38.16,17.27,1.79,19.1,0,0,122.2000000178814,206.40000000596046,13233,2.1,95.5
48,2026-04-01T06:10:56.913Z,857.14,100,17.35,575.57,105.8,72.4,86.02,1298,40.67,96,2,94,40.67,17.35,1.79,17.34,0,0,81.40000000596046,288.40000000596046,13235,2.1,95.3
49,2026-04-01T06:11:03.336Z,857.25,100,17.41,575.56,105.82,72.43,86.03,1253,38.49,97,2,95,38.49,17.35,1.79,19.1,0,0.25,153.39999997615814,237.59999999403954,13233,2.1,95.5
50,2026-04-01T06:11:09.647Z,857.08,100,17.33,575.52,105.81,72.45,85.97,1189,38.86,96,2,94,38.86,17.28,2.47,19.1,0,0,76.7999999821186,179.7999999821186,13231,2.1,95.5
