Profil,ProfilKey,Metrik,Einheit,Hypothese,Kestrel-Kit (Prototyp) n,Kestrel-Kit (Prototyp) Median,Kestrel-Kit (Prototyp) IQR,Kestrel-Kit (Prototyp) Mean,Kestrel-Kit (Prototyp) SD,Kestrel-Kit (Prototyp) Min,Kestrel-Kit (Prototyp) Max,Kestrel-Kit (Prototyp) CV%,Legacy (Baseline 1) n,Legacy (Baseline 1) Median,Legacy (Baseline 1) IQR,Legacy (Baseline 1) Mean,Legacy (Baseline 1) SD,Legacy (Baseline 1) Min,Legacy (Baseline 1) Max,Legacy (Baseline 1) CV%,Legacy (Baseline 2) n,Legacy (Baseline 2) Median,Legacy (Baseline 2) IQR,Legacy (Baseline 2) Mean,Legacy (Baseline 2) SD,Legacy (Baseline 2) Min,Legacy (Baseline 2) Max,Legacy (Baseline 2) CV%
Cable (Referenz),cable,Warm-Cache Payload (gesamt),KB,H1,50,91.84,112.84,137.74,113.37,14.37,450.64,82.3,50,40.92,4.68,42.01,2.68,39.32,52.7,6.4,50,38.58,2.4,39.63,2.06,38.13,46.47,5.2
Cable (Referenz),cable,Warm-Cache Netzwerk-Payload,KB,H1,50,91.84,112.84,137.74,113.37,14.37,450.64,82.3,50,40.92,4.68,42.01,2.68,39.32,52.7,6.4,50,38.58,2.4,39.63,2.06,38.13,46.47,5.2
Cable (Referenz),cable,Warm-Cache Requests (gesamt),,H1,50,125.5,6.0,126.82,5.1,120.0,144.0,4.0,50,94.0,1.0,94.58,0.76,94.0,98.0,0.8,50,96.0,0.75,96.26,0.44,96.0,97.0,0.5
Cable (Referenz),cable,Warm-Cache Netzwerk-Requests,,H1,50,119.5,6.0,120.82,5.1,114.0,138.0,4.2,50,92.0,1.0,92.58,0.76,92.0,96.0,0.8,50,94.0,0.75,94.26,0.44,94.0,95.0,0.5
Cable (Referenz),cable,Gecachte Requests,,H1,50,6.0,0.0,6.0,0.0,6.0,6.0,0.0,50,2.0,0.0,2.0,0.0,2.0,2.0,0.0,50,2.0,0.0,2.0,0.0,2.0,2.0,0.0
Cable (Referenz),cable,Cache-Hit-Rate,%,H1,50,4.8,0.2,4.75,0.18,4.2,5.0,3.7,50,2.1,0.0,2.1,0.01,2.0,2.1,0.7,50,2.1,0.0,2.1,0.0,2.1,2.1,0.0
Cable (Referenz),cable,Payload-Reduktion (Cold→Warm),%,H1,50,92.2,10.88,88.38,9.75,61.5,98.8,11.0,50,95.1,0.58,94.97,0.33,93.6,95.3,0.4,50,95.5,0.27,95.4,0.24,94.6,95.6,0.3
Cable (Referenz),cable,Warm-Cache Navigationszeit,ms,H1,50,2813.5,809.75,2803.94,723.09,1367.0,5116.0,25.8,50,1323.5,81.75,1399.04,290.89,1256.0,3218.0,20.8,50,1206.5,64.75,1225.72,63.96,1098.0,1438.0,5.2
Cable (Referenz),cable,Warm-Cache TTFB,ms,H1,50,0.05,0.1,0.05,0.05,0.0,0.1,101.0,50,195.25,45.78,218.88,92.78,163.0,680.2,42.4,50,92.1,32.95,107.32,43.82,67.1,320.5,40.8
Cable (Referenz),cable,Warm-Cache DOMContentLoaded,ms,H2,50,66.3,28.9,82.06,28.1,57.8,190.4,34.2,50,301.4,49.4,328.44,98.44,248.5,761.2,30.0,50,194.15,56.43,211.62,53.69,148.1,429.3,25.4
Cable (Referenz),cable,Warm HTML-Dokument,KB,H1,50,0.4,0.07,0.42,0.03,0.4,0.47,7.7,50,18.45,0.07,18.45,0.04,18.4,18.52,0.2,50,17.28,0.03,17.29,0.03,17.24,17.35,0.2
Cable (Referenz),cable,Warm JS-Payload,KB,H2,50,0.68,1.37,0.97,1.32,0.0,5.48,135.9,50,2.33,0.69,2.25,0.48,1.79,3.57,21.5,50,1.79,0.68,2.18,0.74,1.78,5.89,34.1
Cable (Referenz),cable,Warm API-Payload,KB,H1,50,16.89,0.36,16.8,0.87,11.18,17.9,5.2,50,19.1,0.01,19.11,0.04,19.1,19.35,0.2,50,19.1,0.0,19.06,0.25,17.34,19.15,1.3
4G (Mobil),4g,Warm-Cache Payload (gesamt),KB,H1,50,107.54,88.27,117.46,71.49,11.32,345.92,60.9,50,39.4,0.69,39.79,0.59,39.31,41.4,1.5,50,38.24,0.66,38.74,1.41,38.15,47.54,3.6
4G (Mobil),4g,Warm-Cache Netzwerk-Payload,KB,H1,50,107.54,88.27,117.46,71.49,11.32,345.92,60.9,50,39.4,0.69,39.79,0.59,39.31,41.4,1.5,50,38.24,0.66,38.74,1.41,38.15,47.54,3.6
4G (Mobil),4g,Warm-Cache Requests (gesamt),,H1,50,125.5,3.0,125.56,3.31,119.0,136.0,2.6,50,94.0,0.0,94.0,0.0,94.0,94.0,0.0,50,96.0,0.0,96.06,0.42,96.0,99.0,0.4
4G (Mobil),4g,Warm-Cache Netzwerk-Requests,,H1,50,119.5,3.0,119.56,3.31,113.0,130.0,2.8,50,92.0,0.0,92.0,0.0,92.0,92.0,0.0,50,94.0,0.0,94.06,0.42,94.0,97.0,0.5
4G (Mobil),4g,Gecachte Requests,,H1,50,6.0,0.0,6.0,0.0,6.0,6.0,0.0,50,2.0,0.0,2.0,0.0,2.0,2.0,0.0,50,2.0,0.0,2.0,0.0,2.0,2.0,0.0
4G (Mobil),4g,Cache-Hit-Rate,%,H1,50,4.8,0.1,4.78,0.13,4.4,5.0,2.6,50,2.1,0.0,2.1,0.0,2.1,2.1,0.0,50,2.1,0.0,2.1,0.01,2.0,2.1,0.7
4G (Mobil),4g,Payload-Reduktion (Cold→Warm),%,H1,50,90.65,7.08,90.3,5.74,74.1,99.0,6.4,50,95.3,0.1,95.25,0.06,95.1,95.3,0.1,50,95.6,0.1,95.53,0.17,94.5,95.6,0.2
4G (Mobil),4g,Warm-Cache Navigationszeit,ms,H1,50,2405.0,1013.0,2650.56,777.14,1401.0,4760.0,29.3,50,1300.5,72.0,1324.12,71.61,1239.0,1610.0,5.4,50,1195.5,95.5,1281.78,264.04,1153.0,2884.0,20.6
4G (Mobil),4g,Warm-Cache TTFB,ms,H1,50,0.1,0.1,0.05,0.05,0.0,0.2,100.5,50,186.5,37.9,206.56,65.94,147.2,523.4,31.9,50,84.75,25.5,101.5,44.68,71.4,308.5,44.0
4G (Mobil),4g,Warm-Cache DOMContentLoaded,ms,H2,50,67.45,29.5,85.34,44.7,49.7,352.0,52.4,50,291.4,55.9,311.16,72.81,230.1,644.7,23.4,50,183.45,43.53,198.88,49.6,145.4,391.9,24.9
4G (Mobil),4g,Warm HTML-Dokument,KB,H1,50,0.4,0.07,0.42,0.03,0.4,0.47,7.8,50,18.45,0.04,18.45,0.03,18.41,18.51,0.1,50,17.3,0.03,17.31,0.03,17.27,17.39,0.2
4G (Mobil),4g,Warm JS-Payload,KB,H2,50,0.68,1.38,0.8,0.87,0.0,3.42,109.4,50,1.79,0.69,2.24,0.59,1.79,3.84,26.3,50,1.81,0.68,2.14,0.61,1.78,4.55,28.3
4G (Mobil),4g,Warm API-Payload,KB,H1,50,16.8,0.35,16.5,1.42,10.92,17.47,8.6,50,19.1,0.01,19.1,0.01,19.09,19.11,0.0,50,19.12,0.02,19.12,0.04,19.09,19.35,0.2
Worst-Case (Stress),worst_case,Warm-Cache Payload (gesamt),KB,H1,50,78.71,97.72,103.43,102.07,11.33,606.32,98.7,50,39.55,1.36,40.4,1.58,39.43,48.14,3.9,50,39.22,1.32,39.44,0.86,38.49,42.02,2.2
Worst-Case (Stress),worst_case,Warm-Cache Netzwerk-Payload,KB,H1,50,78.71,97.72,103.43,102.07,11.33,606.32,98.7,50,39.55,1.36,40.4,1.58,39.43,48.14,3.9,50,39.22,1.32,39.44,0.86,38.49,42.02,2.2
Worst-Case (Stress),worst_case,Warm-Cache Requests (gesamt),,H1,50,125.0,4.75,125.66,4.26,119.0,138.0,3.4,50,94.0,0.0,94.06,0.42,94.0,97.0,0.5,50,100.0,0.0,100.0,0.0,100.0,100.0,0.0
Worst-Case (Stress),worst_case,Warm-Cache Netzwerk-Requests,,H1,50,119.0,4.75,119.56,4.33,113.0,132.0,3.6,50,92.0,0.0,92.06,0.42,92.0,95.0,0.5,50,96.0,0.0,96.0,0.0,96.0,96.0,0.0
Worst-Case (Stress),worst_case,Gecachte Requests,,H1,50,6.0,0.0,6.1,0.71,6.0,11.0,11.6,50,2.0,0.0,2.0,0.0,2.0,2.0,0.0,50,4.0,0.0,4.0,0.0,4.0,4.0,0.0
Worst-Case (Stress),worst_case,Cache-Hit-Rate,%,H1,50,4.8,0.2,4.86,0.59,4.3,8.8,12.1,50,2.1,0.0,2.1,0.0,2.1,2.1,0.0,50,4.0,0.0,4.0,0.0,4.0,4.0,0.0
Worst-Case (Stress),worst_case,Payload-Reduktion (Cold→Warm),%,H1,50,93.45,9.23,91.4,7.81,59.2,99.2,8.5,50,95.3,0.1,95.2,0.18,94.3,95.3,0.2,50,95.5,0.1,95.43,0.1,95.1,95.5,0.1
Worst-Case (Stress),worst_case,Warm-Cache Navigationszeit,ms,H1,50,3304.5,1203.25,4074.94,2745.02,2293.0,14262.0,67.4,50,1361.5,127.25,1437.88,299.58,1265.0,3328.0,20.8,50,1365.0,99.5,1408.14,170.06,1239.0,2337.0,12.1
Worst-Case (Stress),worst_case,Warm-Cache TTFB,ms,H1,50,0.0,0.1,0.05,0.07,0.0,0.3,125.3,50,238.15,72.28,277.3,114.4,175.7,789.8,41.3,50,117.4,70.5,160.08,104.42,81.4,656.5,65.2
Worst-Case (Stress),worst_case,Warm-Cache DOMContentLoaded,ms,H2,50,85.5,31.12,93.98,43.34,59.8,317.2,46.1,50,348.0,98.9,378.83,115.4,259.8,873.4,30.5,50,255.25,72.95,285.16,116.18,172.8,862.3,40.7
Worst-Case (Stress),worst_case,Warm HTML-Dokument,KB,H1,50,0.4,0.0,0.41,0.02,0.4,0.47,5.6,50,18.48,0.06,18.48,0.04,18.42,18.57,0.2,50,17.28,0.02,17.29,0.03,17.24,17.37,0.2
Worst-Case (Stress),worst_case,Warm JS-Payload,KB,H2,50,1.37,1.38,1.48,1.29,0.0,5.49,86.9,50,1.85,1.37,2.58,1.13,1.85,6.65,43.8,50,2.54,1.37,2.74,0.86,1.85,5.27,31.3
Worst-Case (Stress),worst_case,Warm API-Payload,KB,H1,50,16.9,0.52,16.12,2.1,10.93,17.45,13.0,50,19.17,0.01,19.17,0.04,19.16,19.41,0.2,50,19.42,0.01,19.42,0.01,19.4,19.42,0.0
